,Code
638,019440
639,032560
640,005960
641,047400
642,002450
643,012600
644,023000
645,267290
646,036580
647,012690
648,034590
649,003350
650,067830
651,350520
652,001380
653,004890
654,000230
655,023450
656,007280
657,004720
658,006340
659,264900
660,017040
661,096775
662,078000
663,035000
664,023810
665,002600
666,006740
667,058860
668,015590
669,002460
670,004140
671,011150
672,227840
673,123690
674,009190
675,005870
676,016880
677,003480
678,013520
679,044820
680,004100
681,101140
682,092440
683,145210
684,004540
685,007980
686,031820
687,009200
688,009410
689,006370
690,244920
691,011300
692,003925
693,005740
694,003610
695,004060
696,000220
697,016090
698,001560
699,007590
700,018500
701,009810
702,003780
703,005800
704,308170
705,034300
706,204210
707,03473K
708,021820
709,013870
710,010960
711,33626K
712,357430
713,007110
714,008970
715,118000
716,006090
717,000910
718,357250
719,001290
720,010600
721,378850
722,338100
723,004960
724,000850
725,004770
726,002140
727,041650
728,075180
729,000105
730,004910
731,024890
732,014790
733,000590
734,017180
735,002760
736,011230
737,027740
738,058730
739,003010
740,119650
741,002920
742,085310
743,002220
744,069460
745,013360
746,102280
747,004270
748,011420
749,111110
750,000890
751,013700
752,078935
753,000157
754,014440
755,009180
756,002360
757,000650
758,129260
759,100220
760,155660
761,008110
762,006660
763,001550
764,004450
765,002630
766,010640
767,004410
768,001275
769,090080
770,019180
771,001620
772,026940
773,001260
774,008250
775,025750
776,008870
777,021050
778,071090
779,023350
780,009770
781,005750
782,002795
783,009320
784,120115
785,008420
786,011390
787,006805
788,009440
789,006980
790,014710
791,465770
792,002880
793,069640
794,004920
795,069730
796,092780
797,28513K
798,025560
799,003560
800,003080
801,123700
802,025530
803,014130
804,143210
805,049800
806,005360
807,009835
808,004440
809,091090
810,014990
811,007610
812,134790
813,005305
814,446070
815,000725
816,012160
817,37550L
818,009460
819,090370
820,004870
821,023960
822,145270
823,020760
824,051630
825,015260
826,33637K
827,072130
828,012200
829,012280
830,023150
831,013000
832,006570
833,033250
834,000760
835,006200
836,010770
837,133820
838,009310
839,000215
840,005320
841,006125
842,003535
843,005820
844,019175
845,002410
846,093240
847,003465
848,37550K
849,001070
850,000950
851,001465
852,002690
853,024070
854,005030
855,010400
856,003680
857,019685
858,003475
859,008600
860,007120
861,009140
862,002070
863,084670
864,014910
865,084870
866,008775
867,002420
868,001420
869,000040
870,002820
871,030720
872,015020
873,000300
874,025620
875,044380
876,025890
877,011090
878,006380
879,00499K
880,001140
881,002870
882,001210
883,019490
884,004365
885,003495
886,088790
887,005110
888,001685
889,010420
890,33626L
891,152550
892,001770
893,005257
894,084695
895,108675
896,002355
897,007815
898,35320K
899,168490
900,004835
901,030790
902,001795
903,000087
904,33637L
905,000075
906,004105
907,071950
908,008500
909,000885
910,004255
911,45014K
912,002025
913,140910
914,18064K
915,38380K
916,001067
917,000225
918,005725
919,001065
920,145995
921,003075
922,45226K
923,001515
924,004985
925,00806K
926,26490K
927,000325
928,001755
929,006345
930,090355
931,36328K
932,014825
933,007575
934,008355
935,000545
936,005745
937,00781K
938,000145
939,004545
940,014285
941,005965
942,009415
943,012205
944,011155
945,004415
946,000227
947,014915
948,002787
949,001525
950,002785
951,002995
952,001527
