,Code
639,048910
640,089850
641,037460
642,039980
643,105330
644,311690
645,267320
646,072870
647,250060
648,291230
649,255440
650,052260
651,038390
652,391710
653,045660
654,256940
655,360350
656,269620
657,047820
658,036710
659,109670
660,261780
661,417790
662,026150
663,321370
664,039340
665,419080
666,389140
667,443250
668,105760
669,371950
670,054050
671,366030
672,018000
673,059120
674,071200
675,035610
676,216050
677,041910
678,253840
679,347890
680,142210
681,108380
682,353810
683,061040
684,115180
685,067900
686,170920
687,217190
688,215360
689,180400
690,005710
691,302430
692,382480
693,041920
694,078140
695,419530
696,038880
697,100700
698,164060
699,120240
700,159580
701,115160
702,263600
703,053280
704,033310
705,051160
706,124560
707,082210
708,003100
709,255220
710,264660
711,263860
712,361390
713,407400
714,099750
715,053700
716,215090
717,234920
718,330350
719,178780
720,148140
721,151910
722,105550
723,054670
724,411080
725,054780
726,058400
727,307930
728,078890
729,052420
730,007820
731,241790
732,041440
733,317830
734,066590
735,357580
736,049960
737,417840
738,199550
739,041930
740,306620
741,317770
742,170030
743,052330
744,053450
745,950200
746,289080
747,111710
748,171120
749,067370
750,173130
751,054800
752,263690
753,101930
754,037950
755,446540
756,452280
757,052790
758,052710
759,232680
760,061250
761,452160
762,241520
763,083500
764,369370
765,304360
766,236810
767,377030
768,251120
769,199820
770,094970
771,056090
772,376930
773,058630
774,104620
775,066620
776,000440
777,005990
778,234100
779,027580
780,403490
781,065530
782,234300
783,352090
784,032850
785,043220
786,040420
787,186230
788,054040
789,396300
790,361570
791,187870
792,257370
793,093920
794,106190
795,323280
796,066910
797,086670
798,071670
799,050110
800,160600
801,049520
802,340360
803,368770
804,241840
805,347860
806,093190
807,059210
808,288620
809,065130
810,027830
811,027050
812,284620
813,067290
814,408920
815,092460
816,019590
817,089790
818,001540
819,073560
820,067570
821,389470
822,009300
823,057680
824,241690
825,038680
826,006140
827,217730
828,200350
829,039860
830,271830
831,309960
832,066670
833,226400
834,160550
835,072020
836,043650
837,095190
838,448710
839,126880
840,276040
841,036120
842,222810
843,226440
844,009730
845,036090
846,219420
847,065710
848,018120
849,260970
850,019010
851,060230
852,357230
853,218150
854,263050
855,158430
856,002800
857,021320
858,293580
859,333620
860,010470
861,011560
862,053050
863,141000
864,347000
865,305090
866,094850
867,122310
868,417970
869,127980
870,064090
871,352910
872,217500
873,215100
874,066410
875,136410
876,950110
877,042500
878,339950
879,153710
880,196300
881,351330
882,333430
883,086710
884,187420
885,265560
886,024880
887,037440
888,263700
889,053980
890,053260
891,222040
892,260930
893,308080
894,131030
895,155650
896,064240
897,080000
898,225190
899,054920
900,368600
901,208140
902,086040
903,041590
904,237820
905,263800
906,142280
907,011320
908,303530
909,246720
910,130580
911,240600
912,348350
913,068100
914,008830
915,066310
916,064480
917,128660
918,069510
919,200230
920,189980
921,204610
922,014200
923,330730
924,036640
925,294140
926,238090
927,115500
928,033830
929,046120
930,037330
931,170790
932,048430
933,347770
934,163730
935,290720
936,088130
937,192250
938,039290
939,241770
940,212560
941,056730
942,009780
943,302550
