Date,Adj Close
2003-12-01,1198.400024
2003-12-02,1195.0
2003-12-03,1192.5
2003-12-04,1190.099976
2003-12-05,1184.699951
2003-12-08,1185.599976
2003-12-09,1182.699951
2003-12-10,1176.400024
2003-12-11,1169.900024
2003-12-12,1173.199951
2003-12-15,1179.900024
2003-12-16,1179.800049
2003-12-17,1187.0
2003-12-18,1183.800049
2003-12-19,1192.800049
2003-12-22,1195.5
2003-12-23,1195.400024
2003-12-24,1200.5
2003-12-25,1199.300049
2003-12-26,1200.699951
2003-12-29,1186.099976
2003-12-30,1194.800049
2003-12-31,1189.900024
2004-01-01,1181.599976
2004-01-02,1195.800049
2004-01-05,1178.900024
2004-01-06,1189.400024
2004-01-07,1176.800049
2004-01-08,1171.0
2004-01-09,1181.300049
2004-01-12,1168.800049
2004-01-13,1175.300049
2004-01-14,1175.199951
2004-01-15,1174.5
2004-01-16,1186.699951
2004-01-19,1187.5
2004-01-20,1176.699951
2004-01-21,1184.199951
2004-01-22,1187.699951
2004-01-23,1175.199951
2004-01-26,1174.5
2004-01-27,1167.800049
2004-01-28,1176.400024
2004-01-29,1158.199951
2004-01-30,1160.0
2004-02-02,1158.400024
2004-02-03,1170.300049
2004-02-04,1168.900024
2004-02-05,1157.699951
2004-02-06,1167.300049
2004-02-09,1152.800049
2004-02-10,1165.599976
2004-02-11,1160.900024
2004-02-12,1159.199951
2004-02-13,1159.699951
2004-02-16,1147.699951
2004-02-17,1156.900024
2004-02-18,1147.699951
2004-02-19,1147.0
2004-02-20,1157.5
2004-02-23,1179.400024
2004-02-24,1180.099976
2004-02-25,1158.800049
2004-02-26,1165.800049
2004-02-27,1172.800049
2004-03-01,1176.900024
2004-03-02,1163.0
2004-03-03,1156.599976
2004-03-04,1160.0
2004-03-05,1175.699951
2004-03-08,1156.599976
2004-03-09,1181.400024
2004-03-10,1158.900024
2004-03-11,1162.0
2004-03-12,1177.0
2004-03-15,1170.400024
2004-03-16,1171.400024
2004-03-17,1174.5
2004-03-18,1159.300049
2004-03-19,1170.5
2004-03-22,1163.099976
2004-03-23,1163.300049
2004-03-24,1182.800049
2004-03-25,1183.5
2004-03-26,1184.300049
2004-03-29,1180.199951
2004-03-30,1178.699951
2004-03-31,1166.300049
2004-04-01,1161.5
2004-04-02,1184.099976
2004-04-05,1195.400024
2004-04-06,1183.800049
2004-04-07,1131.900024
2004-04-08,1134.5
2004-04-09,1133.699951
2004-04-12,1135.0
2004-04-13,1142.199951
2004-04-14,1158.300049
2004-04-15,1152.199951
2004-04-16,1161.0
2004-04-19,1155.900024
2004-04-20,1159.599976
2004-04-21,1158.599976
2004-04-22,1159.300049
2004-04-23,1156.699951
2004-04-26,1141.5
2004-04-27,1152.5
2004-04-28,1144.5
2004-04-29,1169.599976
2004-04-30,1162.699951
2004-05-03,1160.099976
2004-05-04,1172.400024
2004-05-05,1167.800049
2004-05-06,1165.800049
2004-05-07,1159.800049
2004-05-10,1178.5
2004-05-11,1185.300049
2004-05-12,1168.5
2004-05-13,1186.699951
